"n","K","Empirical","Mean","Median","Percent_Err_Mean","Percent_Err_Median"
50,10,0.772595659859086,0.70117487145103,0.639071222637264,9.24426477118481,17.2825766645098
200,10,0.443258743910882,0.534987727003453,0.524100915327325,20.6942298043,18.2381447691637
500,10,0.471552727427569,0.473645947482705,0.484346580626885,0.443899469430497,2.71313311431997
1000,10,0.478712203778654,0.492913754690907,0.494093749179879,2.96661559913326,3.21310910392758
50,50,0.268585886406845,0.335819324904388,0.32963226148012,25.0323795479333,22.7288097263621
200,50,0.241143360182494,0.255914647862621,0.257263380465895,6.12552121233965,6.68482858959997
500,50,0.206832019200994,0.229660274849394,0.228379723972619,11.0370994474588,10.4179734138195
1000,50,0.203683750207186,0.221750135689813,0.222614639670534,8.8698217036213,9.29425614173542
50,100,0.239619484011339,0.241758245841145,0.243958435089307,0.892565910752461,1.81076722365454
200,100,0.150204821537503,0.176340927911965,0.176186473859186,17.4003111930308,17.2974822350798
500,100,0.160032647999203,0.162895895910853,0.161832048315462,1.78916486569928,1.12439576471181
1000,100,0.167847534291431,0.160904637066977,0.159750999299289,4.13643087088752,4.82374377813864
50,500,0.0915398560069143,0.109187652567634,0.109285967143798,19.2788117990778,19.386212641129
200,500,0.07241037063289,0.0800881455189613,0.0798645069708731,10.603142642366,10.294293859887
500,500,0.0695751270546467,0.0740203235418202,0.0741220497049245,6.38905981972847,6.53527035129445
1000,500,0.0611734098236908,0.0718365951710609,0.0716725608599926,17.4310789248183,17.1629325005123
